Company Names,Cars Names,Engines,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Performance(0 - 100 )KM/H,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
MERCEDES,BENZ CLA 45 AMG,I4,1991 cc,382 hp,250 km/h,4.1 sec,Petrol,5,500 Nm,"$53,000"
MERCEDES,BENZ GLE 63 S,V8,"3,982 cc",603 hp,250 km/h,4.2 sec,Petrol,5,850 Nm,"$113,000"
MERCEDES,BENZ S-CLASS S 500,V6,"2,996 cc",429 hp,250 km/h,4.9 sec,Petrol,5,700 Nm,"$109,000"
MERCEDES,BENZ E-CLASS E 450,V6,"2,996 cc",362 hp,250 km/h,5.2 sec,Petrol,5,500 Nm,"$62,000"
MERCEDES,BENZ CLS 450,V6,"2,996 cc",362 hp,250 km/h,5.2 sec,Petrol,5,500 Nm,"$70,000"
MERCEDES,BENZ GT 53,V6,"2,996 cc",429 hp,250 km/h,4.5 sec,Petrol,5,700 Nm,"$99,000"
MERCEDES,BENZ GLE 450,V6,"2,996 cc",362 hp,250 km/h,5.5 sec,Petrol,5,500 Nm,"$63,000"
MERCEDES,BENZ A-CLASS A 45 S,I4,"1,991 cc",416 hp,250 km/h,3.9 sec,Petrol,5,500 Nm,"$53,000"
MERCEDES,BENZ C-CLASS C 43,V6,"2,996 cc",402 hp,250 km/h,4.7 sec,Petrol,5,520 Nm,"$52,000"
MERCEDES,BENZ E-CLASS E 350,I4,"1,991 cc",255 hp,250 km/h,5.7 sec,Petrol,5,500 Nm,"$49,000"
MERCEDES,BENZ GLE 350,I4,"1,991 cc",255 hp,250 km/h,6.1 sec,Petrol,5,500 Nm,"$53,000"
MERCEDES,BENZ GLC 43,V6,"2,996 cc",402 hp,250 km/h,4.7 sec,Petrol,5,520 Nm,"$54,000"
MERCEDES,BENZ GLA 45,I4,"1,991 cc",382 hp,250 km/h,4.3 sec,Petrol,5,500 Nm,"$48,000"
MERCEDES,BENZ GLC 350,I4,"1,991 cc",255 hp,250 km/h,6.1 sec,Petrol,5,500 Nm,"$46,000"
MERCEDES,BENZ GLE 53,V6,"2,996 cc",429 hp,250 km/h,5.2 sec,Petrol,5,620 Nm,"$71,000"
MERCEDES,BENZ S-CLASS S 350,I4,"1,991 cc",255 hp,250 km/h,6.5 sec,Petrol,5,500 Nm,"$90,000"
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,NA,751 hp,250 km/h,3.4 sec,Electric,5,950 Nm,"$102,000"
MERCEDES,BENZ MAYBACH S 680,V12,"5,980 cc",630 hp,250 km/h,4.7 sec,Petrol,5,1000 Nm,"$200,000"
BMW,M5 CS,V8,"4,395 cc",627 hp,305 km/h,3.0 sec,Petrol,5,750 Nm,"$142,000"
BMW,M4 GTS,I6,"2,993 cc",493 hp,305 km/h,3.7 sec,Petrol,4,600 Nm,"$133,000"
BMW,M3 COMPETITION,I6,"2,993 cc",503 hp,285 km/h,3.5 sec,Petrol,5,650 Nm,"$76,000"
BMW,M2 CS,I6,"2,993 cc",444 hp,280 km/h,4.0 sec,Petrol,4,550 Nm,"$83,000"
BMW,X5 M COMPETITION,V8,"4,935 cc",523 hp,285 km/h,4.1 sec,Petrol,5,750 Nm,"$114,000"
BMW,X3 M COMPETITION,I6,"2,993 cc",503 hp,285 km/h,4.1 sec,Petrol,5,650 Nm,"$69,000"
BMW,M8 GRAN COUPE,V8,"4,395 cc",523 hp,305 km/h,3.3 sec,Petrol,5,750 Nm,"$146,000"
BMW,M850i DRIVE COUPE,V8,"4,935 cc",523 hp,285 km/h,3.7 sec,Petrol,4,750 Nm,"$108,000"
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,"6,592 cc",563 hp,250 km/h,4.8 sec,Petrol,4,840 Nm,"$398,000"
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,Petrol,5,850 Nm,"$381,000"
ROLLS ROYCE,PHATOM TRANQUILITY,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,Petrol,5,900 Nm,"$475,000"
ROLLS ROYCE,GHOST ZENITH,V12,"6,749 cc",563 hp,250 km/h,4.9 sec,Petrol,5,900 Nm,"$335,000"
ROLLS ROYCE,WRAITH EAGLE VIII,V12,"6,592 cc",623 hp,250 km/h,4.5 sec,Petrol,4,800 Nm,"$349,000"
ROLLS ROYCE,PHATOM ORCHID,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,Petrol,5,900 Nm,"$495,000"
ROLLS ROYCE,GHOST AZURE,V12,"6,749 cc",563 hp,250 km/h,4.9 sec,Petrol,5,900 Nm,"$355,000"
ROLLS ROYCE,WRAITH KRYPTOS,V12,"6,592 cc",623 hp,250 km/h,4.5 sec,Petrol,4,800 Nm,"$369,000"
ROLLS ROYCE,DAWN SILVER BULLET,V12,"6,592 cc",563 hp,250 km/h,4.8 sec,Petrol,4,840 Nm,"$418,000"
ROLLS ROYCE,CULLINAN FUX ORANGE,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,Petrol,5,850 Nm,"$401,000"
ROLLS ROYCE,PHANTOM CELESTIAL,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,Petrol,5,900 Nm,"$515,000"
ROLLS ROYCE,GHOST MYSORE,V12,"6,749 cc",563 hp,250 km/h,4.9 sec,Petrol,5,900 Nm,"$375,000"
ROLLS ROYCE,WRAITH LUMINARY,V12,"6,592 cc",623 hp,250 km/h,4.5 sec,Petrol,4,800 Nm,"$389,000"
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,"6,592 cc",563 hp,250 km/h,4.8 sec,Petrol,4,840 Nm,"$439,000"
ROLLS ROYCE,CULLINAN RED DIAMOND,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,Petrol,5,850 Nm,"$421,000"
AUDI,R8 V10 PLUS,V10,"5,204 cc",610 hp,330 km/h,3.2 sec,Petrol,2,560 Nm,"$194,000"
AUDI,RS7 SPORTBACK,V8,"3,993 cc",591 hp,305 km/h,3.6 sec,Petrol,5,800 Nm,"$114,000"
AUDI,S8,V8,"3,993 cc",563 hp,305 km/h,4.3 sec,Petrol,5,800 Nm,"$101,000"
AUDI,RS6 AVANT,V8,"3,993 cc",591 hp,305 km/h,3.6 sec,Petrol,5,800 Nm,"$109,000"
AUDI,S7 SPORTBACK,V8,"3,993 cc",563 hp,305 km/h,4.3 sec,Petrol,5,650 Nm,"$96,000"
AUDI,A8,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,Petrol,5,600 Nm,"$86,000"
AUDI,S5 COUPE,V6,"2,995 cc",349 hp,250 km/h,4.8 sec,Petrol,4,500 Nm,"$64,000"
AUDI,SQ5,V6,"2,995 cc",349 hp,250 km/h,5.4 sec,Petrol,5,500 Nm,"$62,000"
AUDI,S4 SEDAN,V6,"2,995 cc",349 hp,250 km/h,4.7 sec,Petrol,5,500 Nm,"$59,000"
AUDI,S3 SEDAN,I4,"1,984 cc",306 hp,250 km/h,4.8 sec,Petrol,5,400 Nm,"$52,000"
AUDI,Q7,V6,"2,995 cc",335 hp,250 km/h,6.3 sec,Petrol,7,600 Nm,"$60,000"
AUDI,Q5,I4,"1,984 cc",248 hp,240 km/h,6.3 sec,Petrol,5,500 Nm,"$43,000"
AUDI,A7,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,Petrol,5,600 Nm,"$68,000"
AUDI,A6,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,Petrol,5,600 Nm,"$58,000"
AUDI,A5 COUPE,I4,"1,984 cc",248 hp,240 km/h,6.3 sec,Petrol,4,500 Nm,"$45,000"
AUDI,A4,I4,"1,984 cc",248 hp,240 km/h,6.5 sec,Petrol,5,400 Nm,"$39,000"
AUDI,Q3,I4,"1,984 cc",248 hp,230 km/h,7.3 sec,Petrol,5,400 Nm,"$35,000"
AUDI,E-TRON,ELECTRIC,95 kwh,402 hp,200 km/h,5.5 sec,Electric,5,664 Nm,"$75,000"
AUDI,E-TRON SPORTBACK,ELECTRIC,95 kwh,402 hp,200 km/h,5.5 sec,Electric,5,664 Nm,"$78,000"
AUDI,TT COUPE,I4,"1,984 cc",248 hp,250 km/h,5.3 sec,Petrol,2,400 Nm,"$49,000"
